Time,El_grid,PV_feed,PV_self,E_hp,H_hp,E_boiler,H_boiler
1,2.457,0.0,0.0,0.0,0.0,0.0,0.0
2,2.4,0.0,0.0,0.0,0.0,0.0,0.0
3,1.72,0.0,0.0,0.0,0.0,0.0,0.0
4,1.03,0.0,0.0,0.0,0.0,0.0,0.0
5,0.87,0.0,0.0,0.0,0.0,0.0,0.0
6,0.63,0.0,0.0,0.0,0.0,0.0,0.0
7,1.05,0.0,0.0,0.0,0.0,0.0,0.0
8,0.95,0.0,0.0,0.0,0.0,0.0,0.0
9,2.3845914,0.0,0.0,1.0345914,3.1037742,0.0,0.0
10,5.9814928,0.0,0.023753533,4.2252463,12.675739,0.0,0.0
11,7.3966996,0.0,0.26413929,4.8008389,14.402517,0.0,0.0
12,6.5952068,0.0,1.0660586,4.5212654,13.563796,0.0,0.0
13,6.4797482,0.0,1.0299532,4.3897014,13.169104,0.0,0.0
14,7.2175323,0.0,1.1439702,4.7515024,14.254507,0.0,0.0
15,6.1808043,0.0,2.7273807,4.998185,14.994555,0.0,0.0
16,7.7114197,0.0,1.0841113,5.195531,15.586593,0.0,0.0
17,9.2742221,0.0,0.1311195,5.7053416,17.116025,0.0,0.0
18,12.397143,0.0,0.0,6.0671426,18.201428,0.0,0.0
19,13.176053,0.0,0.0,6.3960527,19.188158,0.0,0.0
20,10.922735,0.0,0.0,6.6427352,19.928206,0.0,0.0
21,10.511835,0.0,0.0,6.4618347,19.385504,0.0,0.0
22,9.9533987,0.0,0.0,6.5933987,19.780196,0.0,0.0
23,9.1465267,0.0,0.0,6.8565267,20.56958,0.0,0.0
24,8.5780908,0.0,0.0,6.9880908,20.964272,0.0,0.0
25,8.0251998,0.0,0.0,6.9551998,20.865599,0.0,0.0
26,9.5739679,0.0,0.0,8.5339679,25.601904,0.0,0.0
27,8.9006028,0.0,0.0,8.0406028,24.121809,0.0,0.0
28,9.2424039,0.0,0.0,8.4024039,25.207212,0.0,0.0
29,9.4281859,0.0,0.0,8.4681859,25.404558,0.0,0.0
30,9.9799869,0.0,0.0,8.8299869,26.489961,0.0,0.0
31,10.875343,0.0,0.0,9.1753425,27.526028,0.0,0.0
32,10.67065,0.0,0.0,8.7806504,26.341951,0.0,0.0
33,10.79382,0.0,0.002375353,8.6161954,25.848586,0.0,0.0
34,12.290606,0.0,0.65227203,8.8628779,26.588634,0.0,0.0
35,12.192047,0.0,1.1192665,8.7313139,26.193942,0.0,0.0
36,9.2878775,0.0,2.7625359,8.5504134,25.65124,0.0,0.0
37,10.056348,0.0,1.7382836,8.4846314,25.453894,0.0,0.0
38,9.8511786,0.0,1.3634528,8.4846314,25.453894,0.0,0.0
39,9.9392491,0.0,1.7933918,8.6326409,25.897923,0.0,0.0
40,11.108145,0.0,0.76961448,8.7477594,26.243278,0.0,0.0
41,13.474045,0.0,0.027079028,9.2411245,27.723374,0.0,0.0
42,12.672689,0.0,0.0,9.3726885,28.118066,0.0,0.0
43,12.832452,0.0,0.0,9.1424515,27.427355,0.0,0.0
44,12.96558,0.0,0.0,9.4055795,28.216739,0.0,0.0
45,12.932689,0.0,0.0,9.3726885,28.118066,0.0,0.0
46,12.749561,0.0,0.0,9.1095605,27.328682,0.0,0.0
47,11.629561,0.0,0.0,9.1095605,27.328682,0.0,0.0
48,10.91667,0.0,0.0,9.0766695,27.230009,0.0,0.0
49,10.116006,0.0,0.0,9.126006,27.378018,0.0,0.0
50,9.9582335,0.0,0.0,9.2082335,27.624701,0.0,0.0
51,9.7524515,0.0,0.0,9.1424515,27.427355,0.0,0.0
52,9.9582335,0.0,0.0,9.2082335,27.624701,0.0,0.0
53,9.934679,0.0,0.0,9.224679,27.674037,0.0,0.0
54,9.7837785,0.0,0.0,9.0437785,27.131336,0.0,0.0
55,10.122214,0.0,0.0,8.9122144,26.736643,0.0,0.0
56,10.907997,0.0,0.0,8.9779965,26.93399,0.0,0.0
57,11.44313,0.0,0.013301979,8.8464324,26.539297,0.0,0.0
58,11.451095,0.0,0.36865484,8.5997499,25.79925,0.0,0.0
59,12.04081,0.0,0.98292121,8.3037309,24.911193,0.0,0.0
60,7.6422674,0.0,3.1658709,7.7281383,23.184415,0.0,0.0
61,7.5654297,0.0,2.696026,7.4814558,22.444367,0.0,0.0
62,7.4470383,0.0,2.9744174,7.4814558,22.444367,0.0,0.0
63,7.0037978,0.0,2.6451935,7.1689913,21.506974,0.0,0.0
